Starting Crane Layout Optimization - SCENARIO: Site Width Reduction (Y=60m)
Running Dolphin Echolocation Algorithm...
Iteration 1/200, Best Fitness: 4000000000.00
Iteration 151/200, Best Fitness: 13953.87
Iteration 152/200, Best Fitness: 13953.87
Iteration 153/200, Best Fitness: 13953.87
Iteration 154/200, Best Fitness: 13953.87
Iteration 155/200, Best Fitness: 13953.87
Iteration 156/200, Best Fitness: 13953.87
Iteration 157/200, Best Fitness: 13953.87
Iteration 158/200, Best Fitness: 13953.87
Iteration 159/200, Best Fitness: 13953.87
Iteration 160/200, Best Fitness: 13953.87
Iteration 161/200, Best Fitness: 13953.87
Iteration 162/200, Best Fitness: 13943.95
Iteration 163/200, Best Fitness: 13943.95
Iteration 164/200, Best Fitness: 13943.95
Iteration 165/200, Best Fitness: 13943.95
Iteration 166/200, Best Fitness: 13943.95
Iteration 167/200, Best Fitness: 13943.95
Iteration 168/200, Best Fitness: 13940.55
Iteration 169/200, Best Fitness: 13940.55
Iteration 170/200, Best Fitness: 13940.55
Iteration 171/200, Best Fitness: 13940.55
Iteration 172/200, Best Fitness: 13940.55
Iteration 173/200, Best Fitness: 13940.55
Iteration 174/200, Best Fitness: 13940.55
Iteration 175/200, Best Fitness: 13940.55
Iteration 176/200, Best Fitness: 13940.55
Iteration 177/200, Best Fitness: 13940.55
Iteration 178/200, Best Fitness: 13936.49
Iteration 179/200, Best Fitness: 13936.49
Iteration 180/200, Best Fitness: 13936.49
Iteration 181/200, Best Fitness: 13936.49
Iteration 182/200, Best Fitness: 13936.49
Iteration 183/200, Best Fitness: 13936.49
Iteration 184/200, Best Fitness: 13928.65
Iteration 185/200, Best Fitness: 13928.65
Iteration 186/200, Best Fitness: 13928.65
Iteration 187/200, Best Fitness: 13928.65
Iteration 188/200, Best Fitness: 13928.65
Iteration 189/200, Best Fitness: 13923.49
Iteration 190/200, Best Fitness: 13923.49
Iteration 191/200, Best Fitness: 13923.49
Iteration 192/200, Best Fitness: 13923.49
Iteration 193/200, Best Fitness: 13923.11
Iteration 194/200, Best Fitness: 13923.11
Iteration 195/200, Best Fitness: 13923.11
Iteration 196/200, Best Fitness: 13923.11
Iteration 197/200, Best Fitness: 13923.11
Iteration 198/200, Best Fitness: 13923.11
Iteration 199/200, Best Fitness: 13923.11
Iteration 200/200, Best Fitness: 13923.05
=============================================
OPTIMIZATION FINISHED
=============================================
Algorithm: Dolphin Echolocation Algorithm
Scenario: Site Width Reduction (Y=60m)
Total Execution Time: 2.45 seconds
Best Objective Function Value (Total Time): 13923.05 seconds
Optimal Crane Positions (x, y) for 8 cranes:
  Crane 1: (109.95, 36.26)
  Crane 2: (14.04, 45.04)
  Crane 3: (70.82, 0.00)
  Crane 4: (203.61, 1.98)
  Crane 5: (62.77, 56.94)
  Crane 6: (214.87, 57.13)
  Crane 7: (250.00, 20.85)
  Crane 8: (162.47, 57.48)
=============================================
Program Ended.
>> 
